2026-07-26 19:29:19,643 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-26 19:29:19,644 | INFO | ResumeAnalyzer | Application started
2026-07-26 19:29:19,644 | INFO | ResumeAnalyzer | Resume loaded successfully
2026-07-26 19:29:19,644 | INFO | ResumeAnalyzer | Parsing resume
2026-07-26 19:29:19,645 | INFO | ResumeAnalyzer | Email extracted
2026-07-26 19:29:19,645 | INFO | ResumeAnalyzer | Resume parsed successfully
2026-07-26 19:29:19,645 | INFO | ResumeAnalyzer | Job description loaded
2026-07-26 19:29:19,645 | INFO | ResumeAnalyzer | Job description loaded successfully
2026-07-26 19:29:19,645 | INFO | ResumeAnalyzer | Matching candidate with job
2026-07-26 19:29:19,645 | INFO | ResumeAnalyzer | Final score: 87
2026-07-26 19:29:19,646 | INFO | ResumeAnalyzer | Candidate matching completed
2026-07-26 19:29:19,646 | INFO | ResumeAnalyzer | Report generated
2026-07-26 19:29:19,646 | INFO | ResumeAnalyzer | Text report saved
2026-07-26 19:29:19,647 | INFO | ResumeAnalyzer | JSON report saved
2026-07-26 19:29:19,647 | INFO | ResumeAnalyzer | Reports generated successfully
2026-07-26 19:34:35,120 | INFO | ResumeAnalyzer | Application started
2026-07-26 19:34:35,120 | INFO | ResumeAnalyzer | Resume loaded successfully
2026-07-26 19:34:35,120 | INFO | ResumeAnalyzer | Parsing resume
2026-07-26 19:34:35,120 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-26 19:34:35,120 | INFO | ResumeAnalyzer | Email extracted
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Resume parsed successfully
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Job description loaded
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Job description loaded successfully
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Matching candidate with job
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Final score: 87
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Candidate matching completed
2026-07-26 19:34:35,121 | INFO | ResumeAnalyzer | Report generated
2026-07-26 19:34:35,122 | INFO | ResumeAnalyzer | Text report saved
2026-07-26 19:34:35,122 | INFO | ResumeAnalyzer | JSON report saved
2026-07-26 19:34:35,123 | INFO | ResumeAnalyzer | Reports generated successfully
2026-07-26 19:45:14,357 | INFO | ResumeAnalyzer | Application started
2026-07-26 19:45:14,357 | INFO | ResumeAnalyzer | Resume loaded successfully
2026-07-26 19:45:14,357 | INFO | ResumeAnalyzer | Parsing resume
2026-07-26 19:45:14,357 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-26 19:45:14,358 | INFO | ResumeAnalyzer | Email extracted
2026-07-26 19:45:14,358 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-26 19:45:14,358 | INFO | ResumeAnalyzer | 4 skills extracted
2026-07-26 19:45:14,358 | INFO | ResumeAnalyzer | Experience extracted: 3 years
2026-07-26 19:45:14,358 | INFO | ResumeAnalyzer | Education extracted
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Resume parsed successfully
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Job description loaded
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Job description validated successfully
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Job description loaded successfully
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Matching candidate with job
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Final score: 87
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Candidate matching completed
2026-07-26 19:45:14,359 | INFO | ResumeAnalyzer | Report generated
2026-07-26 19:45:14,360 | INFO | ResumeAnalyzer | Text report saved
2026-07-26 19:45:14,360 | INFO | ResumeAnalyzer | JSON report saved
2026-07-26 19:45:14,360 | INFO | ResumeAnalyzer | Reports generated successfully
2026-07-27 15:07:51,948 | INFO | ResumeAnalyzer | Application started
2026-07-27 15:07:51,949 | ERROR | ResumeAnalyzer | File not found: resumes/sample_resume.txt
2026-07-27 15:09:35,796 | INFO | ResumeAnalyzer | Application started
2026-07-27 15:09:35,796 | INFO | ResumeAnalyzer | Job description loaded
2026-07-27 15:09:35,796 | INFO | ResumeAnalyzer | Job description validated successfully
2026-07-27 15:09:35,797 | INFO | ResumeAnalyzer | Processing rahul.txt
2026-07-27 15:09:35,797 | INFO | ResumeAnalyzer | Parsing resume
2026-07-27 15:09:35,797 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-27 15:09:35,797 | INFO | ResumeAnalyzer | Email extracted
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | 4 skills extracted
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | Experience extracted: 3 years
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | Education extracted
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | Candidate validation successful
2026-07-27 15:09:35,798 | INFO | ResumeAnalyzer | Matching candidate with job
2026-07-27 15:09:35,799 | INFO | ResumeAnalyzer | Comparing 'Python' with 'Python'
2026-07-27 15:09:35,866 | INFO | ResumeAnalyzer | Skill matched (score=100.0)
2026-07-27 15:09:35,866 | INFO | ResumeAnalyzer | Comparing 'Python' with 'SQL'
2026-07-27 15:09:35,868 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:09:35,868 | INFO | ResumeAnalyzer | Comparing 'SQL' with 'SQL'
2026-07-27 15:09:35,868 | INFO | ResumeAnalyzer | Skill matched (score=100.0)
2026-07-27 15:09:35,868 | INFO | ResumeAnalyzer | Comparing 'Python' with 'Git'
2026-07-27 15:09:35,868 | INFO | ResumeAnalyzer | Skill matched (score=22.22222222222222)
2026-07-27 15:09:35,868 | INFO | ResumeAnalyzer | Comparing 'SQL' with 'Git'
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Comparing 'Flask' with 'Git'
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Comparing 'REST API' with 'Git'
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Skill matched (score=18.181818181818176)
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Comparing 'Python' with 'Flask'
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Comparing 'SQL' with 'Flask'
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Skill matched (score=25.0)
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Comparing 'Flask' with 'Flask'
2026-07-27 15:09:35,869 | INFO | ResumeAnalyzer | Skill matched (score=100.0)
2026-07-27 15:09:35,870 | INFO | ResumeAnalyzer | Matched Skills: 3/4
2026-07-27 15:09:35,870 | INFO | ResumeAnalyzer | Final score: 87
2026-07-27 15:09:35,870 | INFO | ResumeAnalyzer | Recommendation: Strongly Recommend
2026-07-27 15:09:35,870 | INFO | ResumeAnalyzer | Report generated
2026-07-27 15:09:35,870 | INFO | ResumeAnalyzer | Text report saved: reports/rahul_report.txt
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | Processing vikram_singh.txt
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | Parsing resume
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | Email extracted
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | 0 skills extracted
2026-07-27 15:09:35,871 | INFO | ResumeAnalyzer | Experience extracted: 3 years
2026-07-27 15:09:35,872 | INFO | ResumeAnalyzer | Education extracted
2026-07-27 15:09:35,872 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-27 15:09:35,872 | ERROR | ResumeAnalyzer | Validation failed: skills is missing
2026-07-27 15:09:35,872 | ERROR | ResumeAnalyzer | Skills is required.
2026-07-27 15:12:21,978 | INFO | ResumeAnalyzer | Application started
2026-07-27 15:12:21,978 | INFO | ResumeAnalyzer | Job description loaded
2026-07-27 15:12:21,978 | INFO | ResumeAnalyzer | Job description validated successfully
2026-07-27 15:12:21,979 | INFO | ResumeAnalyzer | Processing rahul.txt
2026-07-27 15:12:21,979 | INFO | ResumeAnalyzer | Parsing resume
2026-07-27 15:12:21,979 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-27 15:12:21,979 | INFO | ResumeAnalyzer | Email extracted
2026-07-27 15:12:21,979 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | 4 skills extracted
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Experience extracted: 3 years
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Education extracted
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Candidate validation successful
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Matching candidate with job
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Comparing 'Python' with 'Python'
2026-07-27 15:12:21,980 | INFO | ResumeAnalyzer | Skill matched (score=100.0)
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Comparing 'Python' with 'SQL'
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Comparing 'SQL' with 'SQL'
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Skill matched (score=100.0)
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Comparing 'Python' with 'Git'
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Skill matched (score=22.22222222222222)
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Comparing 'SQL' with 'Git'
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Comparing 'Flask' with 'Git'
2026-07-27 15:12:21,981 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Comparing 'REST API' with 'Git'
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Skill matched (score=18.181818181818176)
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Comparing 'Python' with 'Flask'
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Skill matched (score=0.0)
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Comparing 'SQL' with 'Flask'
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Skill matched (score=25.0)
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Comparing 'Flask' with 'Flask'
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Skill matched (score=100.0)
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Matched Skills: 3/4
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Final score: 87
2026-07-27 15:12:21,982 | INFO | ResumeAnalyzer | Recommendation: Strongly Recommend
2026-07-27 15:12:21,983 | INFO | ResumeAnalyzer | Report generated
2026-07-27 15:12:21,983 | INFO | ResumeAnalyzer | Text report saved: reports/rahul_report.txt
2026-07-27 15:12:21,983 | INFO | ResumeAnalyzer | Successfully processed rahul.txt
2026-07-27 15:12:21,983 | INFO | ResumeAnalyzer | Processing vikram_singh.txt
2026-07-27 15:12:21,983 | INFO | ResumeAnalyzer | Parsing resume
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Email extracted
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | 0 skills extracted
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Experience extracted: 3 years
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Education extracted
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-27 15:12:21,984 | ERROR | ResumeAnalyzer | Validation failed: skills is missing
2026-07-27 15:12:21,984 | ERROR | ResumeAnalyzer | Failed to process vikram_singh.txt: Skills is required.
2026-07-27 15:12:21,984 | INFO | ResumeAnalyzer | Processing priya_patel.txt
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Parsing resume
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Email extracted
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | 0 skills extracted
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Experience extracted: 4 years
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Education extracted
2026-07-27 15:12:21,985 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-27 15:12:21,985 | ERROR | ResumeAnalyzer | Validation failed: skills is missing
2026-07-27 15:12:21,986 | ERROR | ResumeAnalyzer | Failed to process priya_patel.txt: Skills is required.
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Processing sneha_reddy.txt
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Parsing resume
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Candidate name extracted
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Email extracted
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Phone number extracted
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | 0 skills extracted
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Experience extracted: 5 years
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Education extracted
2026-07-27 15:12:21,986 | INFO | ResumeAnalyzer | Resume parsing completed
2026-07-27 15:12:21,987 | ERROR | ResumeAnalyzer | Validation failed: skills is missing
2026-07-27 15:12:21,987 | ERROR | ResumeAnalyzer | Failed to process sneha_reddy.txt: Skills is required.
2026-07-27 15:12:21,987 | INFO | ResumeAnalyzer | Processing amit.txt
2026-07-27 15:12:21,987 | INFO | ResumeAnalyzer | Parsing resume
